Tiempo (HH:MM:SS);Distancia (cm);Peso (kg);Diámetro (mm)
20:02:17;214.84;0.0;0.00
20:02:19;16.33;2.5;0.00
20:02:20;43.37;10.0;0.00
20:02:22;21.44;5.0;0.00
20:02:23;19.86;2.5;0.00
20:02:24;7.84;1.0;0.00
20:02:26;29.07;5.0;0.00
20:02:27;33.51;7.5;0.00
20:02:29;70.80;0.0;10.00
20:02:30;16.00;2.5;0.00
20:02:32;14.30;2.5;0.00
20:02:33;11.92;2.5;0.00
20:02:34;18.23;2.5;0.00
20:02:36;13.96;2.5;0.00
20:02:37;27.63;5.0;0.00
20:02:38;16.64;2.5;0.00
20:02:42;17.29;2.5;0.00
20:02:43;26.19;5.0;0.00
20:02:45;27.05;5.0;0.00
20:02:47;213.83;0.0;0.00
20:02:48;35.83;7.5;0.00
20:02:50;30.90;7.5;0.00
20:02:52;23.86;5.0;0.00
20:02:53;13.62;2.5;0.00
20:02:55;16.33;2.5;0.00
20:02:57;21.76;5.0;0.00
20:02:58;22.07;5.0;0.00
20:03:00;35.86;7.5;0.00
20:03:02;4.58;1.0;0.00
20:03:03;6.53;1.0;0.00
20:03:04;5.57;1.0;0.00
20:03:06;6.53;1.0;3080.00
20:03:07;6.23;1.0;0.00
20:03:09;10.87;2.5;0.00
20:03:11;11.58;2.5;370.00
20:03:12;10.55;2.5;0.00
20:03:13;11.23;2.5;540.00
20:03:15;9.18;1.0;0.00
20:03:16;7.19;1.0;0.00
20:03:17;8.16;1.0;0.00
20:03:18;13.62;2.5;0.00
20:03:20;12.59;2.5;2480.00
20:03:21;16.96;2.5;0.00
20:03:23;12.93;2.5;0.00
20:03:24;16.31;2.5;1270.00
20:03:25;12.26;2.5;2040.00
20:03:26;10.56;2.5;0.00
20:03:28;16.00;2.5;230.00
20:03:29;16.31;2.5;680.00
20:03:30;16.00;2.5;10.00
20:03:32;14.97;2.5;720.00
20:03:33;11.90;2.5;1440.00
20:03:34;12.25;2.5;1360.00
20:03:36;13.62;2.5;0.00
20:03:37;16.00;2.5;0.00
20:03:38;8.85;1.0;1350.00
20:03:39;16.33;2.5;1340.00
20:03:42;9.18;1.0;0.00
20:03:43;11.23;2.5;0.00
20:03:44;14.30;2.5;0.00
20:03:45;14.30;2.5;7410.00
20:03:47;24.71;5.0;39340.00
20:03:52;5.88;1.0;630.00
20:03:53;5.88;1.0;0.00
20:03:54;6.52;1.0;0.00
20:03:56;7.17;1.0;1110.00
20:03:57;5.23;1.0;0.00
20:03:58;14.30;2.5;1130.00
20:03:59;12.26;2.5;0.00
20:04:01;9.19;1.0;530.00
20:04:02;10.55;2.5;0.00
20:04:03;10.55;2.5;0.00
20:04:05;11.23;2.5;1630.00
20:04:06;9.86;1.0;0.00
20:04:07;18.25;2.5;480.00
20:04:10;13.98;2.5;1880.00
20:04:12;16.00;2.5;3150.00
20:04:13;17.92;2.5;0.00
20:04:14;18.23;2.5;2590.00
20:04:16;18.88;2.5;1900.00
20:04:17;18.57;2.5;2030.00
20:04:19;16.00;2.5;1830.00
20:04:20;17.92;2.5;2920.00
20:04:21;16.00;2.5;1880.00
20:04:23;37.23;7.5;0.00
20:04:24;16.00;2.5;2340.00
20:04:25;36.31;7.5;0.00
20:04:27;16.33;2.5;3050.00
20:04:28;14.30;2.5;0.00
20:04:29;14.30;2.5;10.00
20:04:31;16.98;2.5;1890.00
20:04:32;14.30;2.5;1550.00
20:04:33;13.29;2.5;1810.00
20:04:34;13.62;2.5;2080.00
20:04:36;18.88;2.5;290.00
20:04:37;215.18;0.0;1800.00
20:04:38;20.17;5.0;2390.00
20:04:40;19.53;2.5;1180.00
20:04:41;21.45;5.0;1910.00
20:04:43;21.76;5.0;1720.00
20:04:44;214.79;0.0;420.00
20:04:45;18.88;2.5;1950.00
20:04:49;22.40;5.0;1720.00
20:04:50;27.92;5.0;1050.00
20:04:52;29.86;5.0;1460.00
20:04:53;34.54;7.5;1780.00
20:04:54;30.90;7.5;1910.00
20:04:56;34.28;7.5;1110.00
20:04:57;34.28;7.5;940.00
20:04:58;33.24;7.5;1100.00
20:05:00;9.86;1.0;0.00
20:05:01;6.53;1.0;0.00
20:05:02;21.45;5.0;0.00
20:05:03;26.75;5.0;0.00
